symbol	chromosome	start	end	
IKBKB	chr8	42271302	42332460	
IKZF1	chr7	50304068	50405101	
IKZF3	chr17	39757718	39864312	
IL21R	chr16	27402174	27452042	
IL2	chr4	122451470	122456725	
IL6ST	chr5	55935095	55995022	
IL7R	chr5	35852695	35879603	
IRF4	chr6	391739	411443	
IRS4	chrX	108719946	108736563	
ITK	chr5	157142933	157255185	
JAK1	chr1	64833229	65067754	
JAK2	chr9	4984390	5129948	
JAK3	chr19	17824780	17848071	
JUN	chr1	58776845	58784048	
KAT6A	chr8	41929479	42051994	
KAT6B	chr10	74824927	75032624	
KCNJ5	chr11	128891356	128921163	
KDM5A	chr12	280057	389320	
KDM5C	chrX	53176283	53225422	
KDM6A	chrX	44873188	45112779	
KDR	chr4	55078481	55125595	
KDSR	chr18	63327726	63367228	
KEAP1	chr19	10486125	10503558	
KIF5B	chr10	32009015	32056425	
KIT	chr4	54657267	54740783	
KLF4	chr9	107484852	107490482	
KLF6	chr10	3775996	3785281	
KLK2	chr19	50861568	50880567	
KMT2A	chr11	118436456	118526832	
KMT2C	chr7	152134922	152436644	
KMT2D	chr12	49018975	49060794	
KNL1	chr15	40594020	40664342	
KRAS	chr12	25205246	25250936	
KTN1	chr14	55559072	55701526	
LASP1	chr17	38869859	38921770	
LATS1	chr6	149658153	149718105	
LATS2	chr13	20973036	21061586	
LCK	chr1	32251239	32286165	
LEF1	chr4	108047545	108168956	
LIFR	chr5	38474668	38608354	
LMNA	chr1	156082573	156140081	
LMO1	chr11	8224309	8268716	
LMO2	chr11	33858576	33892076	
LPP	chr3	188153284	188890671	
LRIG3	chr12	58872149	58920504	
LRP1B	chr2	140231423	142131016	
LYL1	chr19	13099033	13103161	
LZTR1	chr22	20982269	20999032	
MAFB	chr20	40685848	40689236	
MAF	chr16	79585843	79600737	
MALT1	chr18	58671465	58754477	
MAML2	chr11	95976598	96343195	
MAP2K1	chr15	66386837	66491656	
MAP2K2	chr19	4090321	4124122	
MAP2K4	chr17	12020829	12143830	
MAP3K13	chr3	185282941	185489094	
MAP3K1	chr5	56815549	56896152	
MAPK1	chr22	21759657	21867680	
MAX	chr14	65006174	65102695	
MDM2	chr12	68808177	68845544	
MDM4	chr1	204516379	204558120	
MECOM	chr3	169083499	169663775	
MED12	chrX	71118543	71144103	
MEN1	chr11	64803510	64811294	
MET	chr7	116672196	116798377	
MITF	chr3	69739456	69968336	
MLF1	chr3	158571163	158607252	
MLH1	chr3	36993350	37050846	
MLLT10	chr10	21524646	21743630	
MLLT11	chr1	151060397	151069544	
MLLT1	chr19	6210381	6279975	
MLLT3	chr9	20341669	20622499	
MLLT6	chr17	38705273	38729795	
MN1	chr22	27748277	27801756	
MPL	chr1	43337818	43354466	
MRTFA	chr22	40410281	40636719	
MSH2	chr2	47403067	47663146	
MSH6	chr2	47695530	47810063	
MSI2	chr17	57255851	57684689	
MSN	chrX	65588377	65741931	
MTCP1	chrX	155064034	155147937	
MTOR	chr1	11106535	11262551	
MUC1	chr1	155185824	155192916	
MUTYH	chr1	45329163	45340893	
MYB	chr6	135181308	135219173	
MYC	chr8	127735434	127742951	
MYCL	chr1	39895426	39902256	
MYCN	chr2	15940550	15947007	
MYD88	chr3	38138478	38143022	
MYH11	chr16	15703135	15857028	
MYH9	chr22	36281280	36388010	
MYO5A	chr15	52307281	52529132	
MYOD1	chr11	17719571	17722136	
NAB2	chr12	57089043	57095476	
NBN	chr8	89933331	90003228	
NCOA1	chr2	24491254	24770702	
NCOA2	chr8	70109782	70403808	
NCOA4	chr10	46005088	46030623	
NCOR1	chr17	16029157	16218185	
NCOR2	chr12	124324415	124567589	
NDRG1	chr8	133237175	133302022	
NF1	chr17	31094927	31382116	
NF2	chr22	29603556	29698598	
NFATC2	chr20	51386957	51562831	
NFE2L2	chr2	177227595	177392697	
NFIB	chr9	14081843	14398983	
NFKB2	chr10	102394110	102402524	
NFKBIE	chr6	44258166	44265788	
NIN	chr14	50719763	50831162	
NKX2-1	chr14	36516392	36521149	
NONO	chrX	71254814	71301522	
NOTCH1	chr9	136494433	136546048	
NOTCH2	chr1	119911553	120100779	
NPM1	chr5	171387116	171411810	
NR4A3	chr9	99821855	99866891	
NRAS	chr1	114704469	114716771	
NRG1	chr8	31639222	32855666	
NSD1	chr5	177131830	177300213	
NSD2	chr4	1871393	1982207	
NSD3	chr8	38269704	38382272	
NT5C2	chr10	103087185	103277605	
NTRK1	chr1	156815640	156881850	
NTRK3	chr15	87859751	88256791	
NUMA1	chr11	72002864	72080693	
NUP214	chr9	131125573	131234663	
NUP98	chr11	3671083	3797792	
NUTM1	chr15	34343315	34357737	
NUTM2B	chr10	79703227	79714681	
NUTM2D	chr10	87357720	87370695	
OLIG2	chr21	33025935	33029196	
P2RY8	chrX	1462581	1537185	
PAFAH1B2	chr11	117144284	117176894	
PALB2	chr16	23603160	23641310	
PATZ1	chr22	31325804	31346346	
PAX3	chr2	222199887	222298998	
PAX5	chr9	36833269	37034268	
PAX7	chr1	18630846	18748866	
PAX8	chr2	113215997	113278921	
PBRM1	chr3	52545352	52685917	
PBX1	chr1	164555584	164899296	
PCM1	chr8	17922968	18029948	
PDCD1LG2	chr9	5510531	5571282	
PDE4DIP	chr1	148808140	149048286	
PDGFB	chr22	39223359	39244982	
PDGFRA	chr4	54229280	54298245	
PDGFRB	chr5	150113839	150155872	
PER1	chr17	8140472	8156506	
PHF6	chrX	134373288	134428791	
PHOX2B	chr4	41744082	41748725	
PICALM	chr11	85957175	86069882	
PIK3CA	chr3	179148114	179240093	
PIK3CB	chr3	138652698	138834928	
PIK3R1	chr5	68215756	68301821	
PIM1	chr6	37170152	37175428	
PLAG1	chr8	56160909	56211324	
PLCG1	chr20	41136960	41196801	
PML	chr15	73994673	74047827	
PMS2	chr7	5970925	6009106	
POLD1	chr19	50384204	50418018	
POLE	chr12	132623753	132687376	
POLQ	chr3	121431431	121545988	
POT1	chr7	124822386	124929983	
POU2AF1	chr11	111352255	111455630	
POU5F1	chr6	31164337	31180731	
PPARG	chr3	12287368	12434356	
PPFIBP1	chr12	27523431	27695564	
PPM1D	chr17	60600193	60666280	
PPP2R1A	chr19	52190048	52229518	
PPP6C	chr9	125146573	125189939	
PRCC	chr1	156750610	156800815	
PRDM16	chr1	3069168	3438621	
PRDM1	chr6	105993463	106109939	
PREX2	chr8	67952046	68237032	
PRF1	chr10	70597348	70602759	
PRKACA	chr19	14091688	14118084	
PRKAR1A	chr17	68511780	68551319	
PRRX1	chr1	170662728	170739421	
PSIP1	chr9	15464066	15510995	
PTCH1	chr9	95442980	95517057	
PTEN	chr10	87862638	87971930	
PTK6	chr20	63528001	63537376	
PTPN11	chr12	112418351	112509918	
PTPN13	chr4	86594315	86815171	
PTPRB	chr12	70515870	70637440	
PTPRC	chr1	198638457	198757476	
PTPRK	chr6	127968785	128520616	
PTPRT	chr20	42072752	43189970	
QKI	chr6	163414000	163578592	
RABEP1	chr17	5282265	5386340	
RAC1	chr7	6374527	6403967	
RAD21	chr8	116845934	116874776	
RAD51B	chr14	67819779	68730218	
RAF1	chr3	12582101	12664201	
RANBP2	chr2	108719482	108785809	
RAP1GDS1	chr4	98261384	98443858	
RARA	chr17	40309180	40357643	
RB1	chr13	48303744	48599436	
RBM10	chrX	47145221	47186813	
RBM15	chr1	110338506	110346681	
RECQL4	chr8	144511288	144517845	
REL	chr2	60881521	60931612	
RET	chr10	43077064	43130351	
RHOA	chr3	49359139	49412998	
RHOH	chr4	40191053	40246967	
RMI2	chr16	11249619	11381662	
RNF213	chr17	80260852	80398794	
RNF43	chr17	58353676	58417595	
ROS1	chr6	117287353	117425942	
RPL10	chrX	154389955	154409168	
RPL22	chr1	6185020	6209389	
RPL5	chr1	92832013	92841924	
RPN1	chr3	128619969	128681075	
RSPO2	chr8	107899316	108083642	
RSPO3	chr6	127118671	127199481	
RUNX1	chr21	34787801	36004667	
RUNX1T1	chr8	91954967	92103286	
SALL4	chr20	51782331	51802521	
SBDS	chr7	66987680	66995586	
SDC4	chr20	45325288	45348424	
SDHA	chr5	218303	257082	
SDHAF2	chr11	61430042	61446733	
SDHB	chr1	17018722	17054032	
SDHC	chr1	161314381	161363206	
SDHD	chr11	112086824	112120016	
SETBP1	chr18	44680173	45068510	
SET	chr9	128683424	128696400	
SETD2	chr3	47016428	47164113	
SF3B1	chr2	197388515	197435079	
SFPQ	chr1	35176378	35193446	
SFRP4	chr7	37905932	38025695	
SH2B3	chr12	111405923	111451623	
SH3GL1	chr19	4360370	4400547	
SIX1	chr14	60643421	60658259	
SLC34A2	chr4	25648011	25678748	
SLC45A3	chr1	205657851	205680509	
SMAD2	chr18	47808957	47931146	
SMAD3	chr15	67063763	67195173	
SMAD4	chr18	51028394	51085045	
SMARCA4	chr19	10960932	11079426	
SMARCB1	chr22	23786931	23838009	
SMARCD1	chr12	50085200	50100707	
SMARCE1	chr17	40624962	40648654	
SMO	chr7	129188633	129213545	
SND1	chr7	127652194	128092609	
SOCS1	chr16	11254417	11256204	
SOX2	chr3	181711925	181714436	
SPEN	chr1	15836095	15940456	
SPOP	chr17	49598884	49678163	
SRC	chr20	37344685	37406050	
SRSF2	chr17	76734115	76737333	
SRSF3	chr6	36594353	36605600	
SS18	chr18	26016253	26091217	
SS18L1	chr20	62143769	62182514	
SSX1	chrX	48255392	48267444	
SSX2	chrX	52696896	52707178	
SSX4	chrX	48383516	48393347	
STAG2	chrX	123960212	124422664	
STAT3	chr17	42313324	42388540	
STAT5B	chr17	42199177	42276707	
STAT6	chr12	57095408	57132139	
STIL	chr1	47250139	47314892	
STK11	chr19	1177558	1228431	
STRN	chr2	36837698	36966536	
SUFU	chr10	102503972	102633535	
SUZ12	chr17	31937007	32001038	
SYK	chr9	90801787	90898549	
TAF15	chr17	35809482	35864615	
TAL1	chr1	47216290	47232225	
TAL2	chr9	105662457	105663124	
TBL1XR1	chr3	177019340	177228000	
TBX3	chr12	114670255	114684175	
TCEA1	chr8	53966552	54022456	
TCF12	chr15	56918623	57299281	
TCF3	chr19	1609290	1652615	
TCF7L2	chr10	112950247	113167678	
TCL1A	chr14	95709947	95714196	
TENT5C	chr1	117606048	117628389	
TERT	chr5	1253147	1295068	
TET1	chr10	68560337	68694487	
TET2	chr4	105145875	105279816	
TFE3	chrX	49028726	49043410	
TFEB	chr6	41683978	41736259	
TFG	chr3	100709295	100748964	
TGFBR2	chr3	30606601	30694142	
TLX1	chr10	101131300	101137789	
TLX3	chr5	171309248	171312139	
TMEM127	chr2	96248514	96265997	
TMPRSS2	chr21	41464300	41531116	
TNFAIP3	chr6	137867214	137883312	
TNFRSF14	chr1	2555639	2565382	
TNFRSF17	chr16	11965210	11968068	
TOP1	chr20	41028822	41124487	
TP53	chr17	7661779	7687538	
TP63	chr3	189631389	189897276	
TPM3	chr1	154155304	154194648	
TPM4	chr19	16067021	16103002	
TPR	chr1	186311652	186375693	
TRAF7	chr16	2155698	2178129	
TRIM24	chr7	138460259	138589996	
TRIM27	chr6	28903002	28923988	
TRIM33	chr1	114392790	114511203	
TRIP11	chr14	91965991	92040896	
TRRAP	chr7	98877933	99050831	
TSC1	chr9	132891348	132946874	
TSC2	chr16	2047967	2089491	
TSHR	chr14	80954989	81146306	
U2AF1	chr21	43092956	43107570	
UBR5	chr8	102252273	102412759	
USP6	chr17	5116032	5175034	
USP8	chr15	50424380	50514421	
VHL	chr3	10141778	10153667	
WAS	chrX	48676596	48691427	
WDCP	chr2	24029347	24049575	
WIF1	chr12	65050626	65121305	
WRN	chr8	31033788	31176138	
WT1	chr11	32387775	32435564	
WWTR1	chr3	149517235	149736714	
XPA	chr9	97674909	97697340	
XPC	chr3	14145147	14178621	
XPO1	chr2	61476032	61538741	
YWHAE	chr17	1344275	1400222	
ZBTB16	chr11	114059041	114256765	
ZFHX3	chr16	72782885	73891871	
ZMYM2	chr13	19958677	20091829	
ZNF331	chr19	53519527	53580269	
ZNF384	chr12	6666477	6689572	
ZNF521	chr18	25061924	25352190	
ZNF668	chr16	31060843	31074240	
ZRSR2	chrX	15790156	15830694	
