name,chrom,strand,txStart,txEnd,cdsStart,cdsEnd,exonCount,exonStarts,exonEnds,score,name2,cdsStartStat,cdsEndStat,exonFrames
ENST00000334060.8,chrX,+,624343,659411,630897,658829,6,"624343,630465,634617,640820,640998,658784,","624602,631174,634826,640878,641087,659411,",0,SHOX,cmpl,cmpl,"-1,0,1,0,1,0,"
ENST00000686671.1,chrX,+,630790,651584,630897,644636,5,"630790,634617,640820,640998,644390,","631174,634826,640878,641087,651584,",0,SHOX,cmpl,cmpl,"0,1,0,1,0,"
ENST00000381575.6,chrX,+,630806,659411,630897,658829,5,"630806,634617,640820,640998,658784,","631174,634826,640878,641087,659411,",0,SHOX,cmpl,cmpl,"0,1,0,1,0,"
ENST00000420865.6,chrX,+,990220,994365,990220,990220,2,"990220,993984,","990427,994365,",0,ENSG00000237531,none,none,"-1,-1,"
ENST00000381566.6,chrX,-,1187548,1212637,1190896,1212634,9,"1187548,1190496,1193217,1196779,1198561,1202401,1206432,1208805,1212555,","1187574,1191160,1193302,1196900,1198724,1202535,1206599,1208908,1212637,",0,CRLF2,cmpl,cmpl,"-1,0,2,1,0,1,2,1,0,"
ENST00000400841.8,chrX,-,1190489,1212649,1190896,1212634,8,"1190489,1193217,1196779,1198561,1202401,1206432,1208805,1212555,","1191160,1193302,1196900,1198724,1202535,1206599,1208908,1212649,",0,CRLF2,cmpl,cmpl,"0,2,1,0,1,2,1,0,"
ENST00000467626.6,chrX,-,1190491,1212723,1198926,1212634,8,"1190491,1193217,1196779,1198800,1202401,1206432,1208805,1212555,","1191160,1193302,1196900,1199145,1202535,1206599,1208905,1212723,",0,CRLF2,cmpl,cmpl,"-1,-1,-1,0,1,2,1,0,"
ENST00000381567.8,chrX,-,1190896,1212634,1190896,1206445,7,"1190896,1193217,1196779,1198561,1202401,1206432,1212555,","1191160,1193302,1196900,1198724,1202535,1206599,1212634,",0,CRLF2,cmpl,cmpl,"0,2,1,0,1,0,-1,"
ENST00000498153.7,chrX,+,1268799,1309934,1282703,1309479,14,"1268799,1274754,1282677,1285777,1288518,1288758,1290336,1294327,1295426,1300490,1303260,1303922,1305445,1309401,","1268879,1274842,1282779,1285920,1288642,1288888,1290509,1294461,1295456,1300626,1303362,1304019,1305527,1309934,",0,CSF2RA,cmpl,cmpl,"-1,-1,0,1,0,1,2,1,0,0,1,1,2,0,"
ENST00000381524.8,chrX,+,1268807,1310381,1282703,1309479,13,"1268807,1274754,1282677,1285777,1288518,1288758,1290336,1294327,1295426,1300490,1303922,1305445,1309401,","1268879,1274842,1282779,1285920,1288642,1288888,1290509,1294461,1295456,1300626,1304019,1305527,1310381,",0,CSF2RA,cmpl,cmpl,"-1,-1,0,1,0,1,2,1,0,0,1,2,0,"
ENST00000493312.6,chrX,+,1268813,1300543,1268813,1268813,9,"1268813,1274754,1282677,1288518,1288758,1290336,1294327,1295426,1300490,","1268879,1274842,1282779,1288642,1288888,1290509,1294461,1295456,1300543,",0,CSF2RA,none,none,"-1,-1,-1,-1,-1,-1,-1,-1,-1,"
ENST00000696230.1,chrX,+,1268813,1309718,1282703,1282883,14,"1268813,1274754,1282677,1285777,1288518,1288758,1290336,1294327,1295426,1300490,1303260,1303922,1305445,1309401,","1268879,1274842,1283042,1285920,1288642,1288888,1290509,1294461,1295456,1300626,1303362,1304019,1305527,1309718,",0,CSF2RA,cmpl,cmpl,"-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"
ENST00000381529.9,chrX,+,1268813,1309935,1282703,1309479,13,"1268813,1274754,1282677,1285777,1288518,1288758,1290336,1294327,1295426,1300490,1303922,1305445,1309401,","1268879,1274818,1282779,1285920,1288642,1288888,1290509,1294461,1295456,1300626,1304019,1305527,1309935,",0,CSF2RA,cmpl,cmpl,"-1,-1,0,1,0,1,2,1,0,0,1,2,0,"
ENST00000412290.6,chrX,+,1268817,1294395,1282703,1294395,7,"1268817,1282677,1285777,1288518,1288758,1290336,1294327,","1268879,1282779,1285920,1288642,1288888,1290509,1294395,",0,CSF2RA,cmpl,cmpl,"-1,0,1,0,1,2,1,"
ENST00000432318.8,chrX,+,1268829,1309924,1282703,1309479,14,"1268829,1274754,1282408,1282677,1285777,1288518,1288758,1290336,1294327,1295426,1300490,1303922,1305445,1309401,","1268879,1274818,1282560,1282779,1285920,1288642,1288888,1290509,1294461,1295456,1300626,1304019,1305527,1309924,",0,CSF2RA,cmpl,cmpl,"-1,-1,-1,0,1,0,1,2,1,0,0,1,2,0,"
ENST00000381509.8,chrX,+,1268831,1305941,1282703,1305735,13,"1268831,1274754,1282677,1285777,1288518,1288758,1290336,1294327,1295426,1300490,1303922,1305445,1305627,","1268879,1274842,1282779,1285920,1288642,1288888,1290509,1294461,1295456,1300626,1304019,1305527,1305941,",0,CSF2RA,cmpl,cmpl,"-1,-1,0,1,0,1,2,1,0,0,1,2,0,"
ENST00000494969.7,chrX,+,1268831,1309922,1282703,1309868,6,"1268831,1274754,1282677,1285777,1287173,1309839,","1268879,1274842,1282779,1285920,1287198,1309922,",0,CSF2RA,cmpl,cmpl,"-1,-1,0,1,0,1,"
ENST00000481245.6,chrX,+,1268834,1282220,1268834,1268834,3,"1268834,1274754,1281870,","1268879,1274818,1282220,",0,CSF2RA,none,none,"-1,-1,-1,"
ENST00000355432.8,chrX,+,1268844,1309934,1282703,1309589,11,"1268844,1274754,1282677,1285777,1288518,1288758,1290336,1294327,1295426,1300490,1309401,","1268879,1274842,1282779,1285920,1288642,1288888,1290509,1294461,1295456,1300626,1309934,",0,CSF2RA,cmpl,cmpl,"-1,-1,0,1,0,1,2,1,0,0,1,"
ENST00000355805.7,chrX,+,1268844,1309934,1282703,1305501,9,"1268844,1274754,1282677,1285777,1288518,1288758,1290336,1305445,1309401,","1268879,1274842,1282779,1285920,1288642,1288888,1290509,1305527,1309934,",0,CSF2RA,cmpl,cmpl,"-1,-1,0,1,0,1,2,1,-1,"
ENST00000486791.6,chrX,+,1268844,1309934,1282703,1303970,12,"1268844,1274754,1282677,1285777,1288518,1288758,1290336,1294327,1295426,1303922,1305445,1309401,","1268879,1274842,1282779,1285920,1288642,1288888,1290509,1294461,1295456,1304019,1305527,1309934,",0,CSF2RA,cmpl,cmpl,"-1,-1,0,1,0,1,2,1,0,0,-1,-1,"
ENST00000381500.6,chrX,+,1282685,1309638,1282703,1305501,10,"1282685,1285777,1288518,1288758,1290336,1294327,1295426,1300490,1305445,1309401,","1282779,1285920,1288642,1288888,1290509,1294461,1295456,1300626,1305527,1309638,",0,CSF2RA,cmpl,cmpl,"0,1,0,1,2,1,0,0,1,-1,"
ENST00000477940.6,chrX,+,1285651,1288640,1285651,1285651,2,"1285651,1288518,","1285920,1288640,",0,CSF2RA,none,none,"-1,-1,"
ENST00000478256.6,chrX,+,1288597,1289105,1288597,1288597,2,"1288597,1288758,","1288642,1289105,",0,CSF2RA,none,none,"-1,-1,"
ENST00000475259.6,chrX,+,1290452,1309922,1290452,1290452,6,"1290452,1294327,1295426,1300490,1302896,1309823,","1290509,1294461,1295456,1300626,1302916,1309922,",0,CSF2RA,none,none,"-1,-1,-1,-1,-1,-1,"
ENST00000580266.6,chrX,+,1293917,1293992,1293917,1293917,1,"1293917,","1293992,",0,MIR3690,none,none,"-1,"
ENST00000491683.6,chrX,+,1294224,1295578,1294224,1294224,2,"1294224,1295426,","1294461,1295578,",0,CSF2RA,none,none,"-1,-1,"
ENST00000381469.7,chrX,+,1336615,1382689,1341765,1382465,10,"1336615,1341727,1352099,1352321,1356220,1358860,1365137,1378658,1381022,1382390,","1336926,1341829,1352232,1352506,1356336,1358887,1365252,1378764,1381104,1382689,",0,IL3RA,cmpl,cmpl,"-1,0,1,2,1,0,0,1,2,0,"
ENST00000331035.10,chrX,+,1336784,1382689,1341765,1382465,12,"1336784,1341727,1345315,1348430,1352099,1352321,1356220,1358860,1365137,1378658,1381022,1382390,","1336926,1341829,1345434,1348545,1352232,1352506,1356336,1358887,1365252,1378764,1381104,1382689,",0,IL3RA,cmpl,cmpl,"-1,0,1,0,1,2,1,0,0,1,2,0,"
ENST00000432757.6,chrX,+,1336795,1356331,1341765,1356331,5,"1336795,1341727,1352099,1352321,1356220,","1336926,1341829,1352232,1352506,1356331,",0,IL3RA,cmpl,cmpl,"-1,0,1,2,1,"
ENST00000381401.11,chrX,-,1386151,1392113,1386601,1392009,4,"1386151,1387278,1389240,1391898,","1386759,1387419,1389727,1392113,",0,SLC25A6,cmpl,cmpl,"1,1,0,0,"
ENST00000475167.6,chrX,-,1387310,1392103,1387310,1387310,4,"1387310,1389240,1390191,1391898,","1387419,1389727,1390290,1392103,",0,SLC25A6,none,none,"-1,-1,-1,-1,"
ENST00000484026.6,chrX,-,1387344,1392088,1387344,1387344,4,"1387344,1389240,1390191,1391898,","1387419,1389727,1390293,1392088,",0,SLC25A6,none,none,"-1,-1,-1,-1,"
ENST00000434938.7,chrX,+,1396426,1398958,1396426,1396426,2,"1396426,1398824,","1396648,1398958,",0,LINC00106,none,none,"-1,-1,"
ENST00000430235.7,chrX,+,1397024,1399402,1397024,1397024,3,"1397024,1398824,1399366,","1397224,1398958,1399402,",0,LINC00106,none,none,"-1,-1,-1,"
ENST00000443929.6,chrX,+,1401768,1403493,1401768,1401768,2,"1401768,1403376,","1402225,1403493,",0,ASMTL-AS1,none,none,"-1,-1,"
ENST00000425740.7,chrX,+,1401810,1413915,1401810,1401810,4,"1401810,1403460,1412742,1413761,","1402225,1403585,1412888,1413915,",0,ASMTL-AS1,none,none,"-1,-1,-1,-1,"
ENST00000420411.7,chrX,+,1402042,1413131,1402042,1402042,3,"1402042,1403460,1412742,","1402225,1403585,1413131,",0,ASMTL-AS1,none,none,"-1,-1,-1,"
ENST00000381317.9,chrX,-,1403138,1452909,1403268,1452840,13,"1403138,1412731,1417972,1418981,1421657,1425524,1427733,1432268,1435021,1435693,1439096,1442185,1452747,","1403489,1412854,1418116,1419114,1421842,1425687,1428121,1432377,1435083,1435758,1439144,1442317,1452909,",0,ASMTL,cmpl,cmpl,"1,1,1,0,1,0,2,1,2,0,0,0,0,"
ENST00000534940.6,chrX,-,1403138,1453762,1403268,1442236,13,"1403138,1412731,1417972,1418981,1421657,1425524,1427733,1432268,1435021,1435693,1439096,1442185,1453617,","1403489,1412854,1418116,1419114,1421842,1425687,1428121,1432377,1435083,1435758,1439144,1442317,1453762,",0,ASMTL,cmpl,cmpl,"1,1,1,0,1,0,2,1,2,0,0,0,-1,"
ENST00000381333.9,chrX,-,1403140,1452929,1403268,1452840,12,"1403140,1412731,1417972,1418981,1421657,1425524,1427733,1432268,1435021,1435693,1442185,1452747,","1403489,1412854,1418116,1419114,1421842,1425687,1428121,1432377,1435083,1435758,1442317,1452929,",0,ASMTL,cmpl,cmpl,"1,1,1,0,1,0,2,1,2,0,0,0,"
ENST00000419737.7,chrX,+,1403458,1414028,1403458,1403458,3,"1403458,1412742,1413748,","1403585,1412888,1414028,",0,ASMTL-AS1,none,none,"-1,-1,-1,"
ENST00000602357.6,chrX,+,1403509,1414024,1403509,1403509,3,"1403509,1412790,1413763,","1403585,1412888,1414024,",0,ASMTL-AS1,none,none,"-1,-1,-1,"
ENST00000463763.6,chrX,-,1427726,1435391,1427726,1427726,3,"1427726,1432268,1435021,","1428121,1432377,1435391,",0,ASMTL,none,none,"-1,-1,-1,"
ENST00000462195.6,chrX,-,1431901,1435728,1431901,1431901,3,"1431901,1435021,1435693,","1432377,1435083,1435728,",0,ASMTL,none,none,"-1,-1,-1,"
ENST00000474865.6,chrX,-,1441591,1452872,1441591,1441591,2,"1441591,1452747,","1442317,1452872,",0,ASMTL,none,none,"-1,-1,"
ENST00000381297.10,chrX,-,1462580,1537185,1465478,1466558,2,"1462580,1536920,","1466582,1537185,",0,P2RY8,cmpl,cmpl,"0,-1,"
ENST00000460672.6,chrX,-,1466436,1494353,1466436,1466558,2,"1466436,1494092,","1466582,1494353,",0,P2RY8,cmpl,cmpl,"0,-1,"
ENST00000313871.9,chrX,+,1591603,1602520,1593462,1601594,5,"1591603,1593443,1595383,1599191,1600658,","1591769,1594224,1595532,1599432,1602520,",0,AKAP17A,cmpl,cmpl,"-1,0,0,2,0,"
ENST00000474361.6,chrX,+,1591622,1602502,1593462,1600143,6,"1591622,1593443,1595383,1599191,1600137,1600658,","1591769,1594224,1595532,1599432,1600207,1602502,",0,AKAP17A,cmpl,cmpl,"-1,0,0,2,0,-1,"
ENST00000381261.8,chrX,+,1591624,1600303,1593462,1599621,4,"1591624,1593443,1595383,1599191,","1591769,1594224,1595532,1600303,",0,AKAP17A,cmpl,cmpl,"-1,0,0,2,"
ENST00000381241.9,chrX,+,1615058,1643081,1615199,1643014,9,"1615058,1623138,1624268,1627702,1629820,1632703,1633149,1636437,1642802,","1615268,1623313,1624398,1627771,1629939,1632787,1633290,1636560,1643081,",0,ASMT,cmpl,cmpl,"0,0,1,2,2,1,1,1,1,"
ENST00000381229.9,chrX,+,1615163,1643027,1615199,1643014,8,"1615163,1623138,1624268,1627702,1629820,1633149,1636437,1642802,","1615268,1623313,1624398,1627771,1629939,1633290,1636560,1643027,",0,ASMT,cmpl,cmpl,"0,0,1,2,2,1,1,1,"
ENST00000381233.8,chrX,+,1615174,1643081,1615199,1643014,7,"1615174,1623138,1624268,1627702,1629820,1636437,1642802,","1615268,1623313,1624398,1627771,1629939,1636560,1643081,",0,ASMT,cmpl,cmpl,"0,0,1,2,2,1,1,"
ENST00000509780.6,chrX,+,1627745,1636463,1627745,1627745,2,"1627745,1636241,","1628033,1636463,",0,ASMT,none,none,"-1,-1,"
ENST00000432523.6,chrX,+,1636397,1643081,1636397,1643014,2,"1636397,1642802,","1636560,1643081,",0,ASMT,cmpl,cmpl,"0,1,"
ENST00000691936.2,chrX,+,1661794,1662306,1661794,1661794,2,"1661794,1662160,","1662052,1662306,",0,ENSG00000289620,none,none,"-1,-1,"
ENST00000427886.6,chrX,+,1732583,1741988,1732583,1732583,3,"1732583,1733949,1741930,","1732723,1734196,1741988,",0,LINC02968,none,none,"-1,-1,-1,"
ENST00000432272.7,chrX,+,1734116,1763212,1734116,1734116,3,"1734116,1755683,1762958,","1734196,1755985,1763212,",0,LINC02968,none,none,"-1,-1,-1,"
ENST00000453953.6,chrX,+,1767346,1768776,1767346,1767346,2,"1767346,1768434,","1767552,1768776,",0,ENSG00000234622,none,none,"-1,-1,"
ENST00000334651.11,chrX,-,2219505,2500976,2221040,2500925,7,"2219505,2243022,2266739,2291501,2408744,2425196,2500816,","2221229,2243230,2266947,2291603,2408813,2425304,2500976,",0,DHRSX,cmpl,cmpl,"0,2,1,1,1,1,0,"
ENST00000412516.7,chrX,-,2243061,2500973,2243061,2500925,5,"2243061,2266739,2291501,2425196,2500816,","2243230,2266947,2291603,2425304,2500973,",0,DHRSX,cmpl,cmpl,"2,1,1,1,0,"
ENST00000464935.6,chrX,-,2261393,2266937,2261393,2261393,2,"2261393,2266739,","2261767,2266937,",0,DHRSX,none,none,"-1,-1,"
ENST00000444280.6,chrX,-,2266769,2500650,2266769,2425212,5,"2266769,2291501,2408744,2425196,2500310,","2266947,2291603,2408813,2425304,2500650,",0,DHRSX,cmpl,cmpl,"1,1,1,0,-1,"
ENST00000441131.7,chrX,-,2266853,2502805,2266853,2266853,6,"2266853,2291501,2392353,2408744,2425196,2502760,","2266947,2291603,2392474,2408813,2425304,2502805,",0,DHRSX,none,none,"-1,-1,-1,-1,-1,-1,"
ENST00000478825.7,chrX,-,2291501,2500589,2291501,2291574,5,"2291501,2392353,2408744,2425196,2500310,","2291603,2392474,2408813,2425304,2500589,",0,DHRSX,cmpl,cmpl,"0,-1,-1,-1,-1,"
ENST00000437244.6,chrX,-,2334294,2336410,2334294,2334294,2,"2334294,2336384,","2334919,2336410,",0,DHRSX-IT1,none,none,"-1,-1,"
ENST00000430536.7,chrX,-,2337830,2500960,2337830,2337830,4,"2337830,2408744,2425196,2500816,","2337999,2408813,2425304,2500960,",0,DHRSX,none,none,"-1,-1,-1,-1,"
ENST00000381222.8,chrX,-,2486413,2500967,2488634,2490719,2,"2486413,2500816,","2490769,2500967,",0,ZBED1,cmpl,cmpl,"0,-1,"
ENST00000381223.9,chrX,-,2486413,2500967,2488634,2490719,2,"2486413,2500816,","2490772,2500967,",0,ZBED1,cmpl,cmpl,"0,-1,"
ENST00000652001.1,chrX,-,2486434,2500976,2488634,2490719,2,"2486434,2500816,","2490772,2500976,",0,ZBED1,cmpl,cmpl,"0,-1,"
ENST00000515319.6,chrX,-,2486981,2488971,2486981,2486981,2,"2486981,2488787,","2487702,2488971,",0,ZBED1,none,none,"-1,-1,"
ENST00000381218.8,chrX,-,2488185,2500555,2488634,2490719,2,"2488185,2500310,","2490772,2500555,",0,ZBED1,cmpl,cmpl,"0,-1,"
ENST00000461691.6,chrX,-,2489904,2500895,2489904,2490719,2,"2489904,2500816,","2490772,2500895,",0,ZBED1,cmpl,cmpl,"0,-1,"
ENST00000686824.1,chrX,-,2566023,2609207,2566023,2566023,2,"2566023,2609105,","2567292,2609207,",0,ENSG00000289007,none,none,"-1,-1,"
ENST00000692325.1,chrX,-,2566026,2609168,2566026,2566026,3,"2566026,2570010,2609105,","2567292,2570098,2609168,",0,ENSG00000289007,none,none,"-1,-1,-1,"
ENST00000693110.1,chrX,-,2566026,2609191,2566026,2566026,3,"2566026,2597293,2609105,","2567292,2597451,2609191,",0,ENSG00000289007,none,none,"-1,-1,-1,"
ENST00000693756.2,chrX,-,2566026,2609193,2566026,2566026,3,"2566026,2570010,2609105,","2567292,2570166,2609193,",0,ENSG00000289007,none,none,"-1,-1,-1,"
ENST00000692674.1,chrX,-,2566027,2609183,2566027,2566027,3,"2566027,2574112,2609105,","2567292,2574289,2609183,",0,ENSG00000289007,none,none,"-1,-1,-1,"
ENST00000692094.1,chrX,-,2566028,2609144,2566028,2566028,4,"2566028,2570010,2574095,2609105,","2567292,2570098,2574289,2609144,",0,ENSG00000289007,none,none,"-1,-1,-1,-1,"
ENST00000688729.1,chrX,-,2566028,2609167,2566028,2566028,4,"2566028,2570010,2574112,2609105,","2567292,2570166,2574289,2609167,",0,ENSG00000289007,none,none,"-1,-1,-1,-1,"
ENST00000701359.1,chrX,-,2566028,2609167,2566028,2566028,4,"2566028,2570010,2574112,2609105,","2567292,2570098,2574289,2609167,",0,ENSG00000289007,none,none,"-1,-1,-1,-1,"
ENST00000688481.1,chrX,-,2566028,2609168,2566028,2566028,4,"2566028,2570010,2574095,2609105,","2567292,2570166,2574289,2609168,",0,ENSG00000289007,none,none,"-1,-1,-1,-1,"
ENST00000616698.5,chrX,+,2609190,2609254,2609190,2609190,1,"2609190,","2609254,",0,MIR6089,none,none,"-1,"
ENST00000691003.1,chrX,+,2609339,2638329,2609339,2609339,9,"2609339,2610995,2612149,2615815,2618739,2619428,2622689,2626596,2637973,","2609481,2611038,2612218,2615969,2618784,2619497,2623453,2626642,2638329,",0,CD99P1,none,none,"-1,-1,-1,-1,-1,-1,-1,-1,-1,"
ENST00000431582.6,chrX,+,2609347,2616171,2609347,2609347,4,"2609347,2610995,2612149,2615815,","2609481,2611038,2612218,2616171,",0,CD99P1,none,none,"-1,-1,-1,-1,"
ENST00000430562.7,chrX,+,2609347,2638329,2609347,2609347,10,"2609347,2610995,2612149,2615815,2618739,2619428,2622689,2623384,2626596,2637973,","2609481,2611038,2612218,2615969,2618784,2619497,2622734,2623453,2626642,2638329,",0,CD99P1,none,none,"-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"
ENST00000689252.1,chrX,+,2609373,2638329,2609373,2609373,9,"2609373,2610995,2612149,2615815,2618757,2619428,2623384,2626596,2637973,","2609481,2611038,2612218,2615969,2618784,2619497,2623453,2626642,2638329,",0,CD99P1,none,none,"-1,-1,-1,-1,-1,-1,-1,-1,-1,"
ENST00000685470.1,chrX,+,2609380,2638329,2609380,2609380,9,"2609380,2610995,2612149,2615815,2618739,2619428,2623384,2626596,2637973,","2609481,2611038,2612218,2615969,2618784,2619497,2623453,2626642,2638329,",0,CD99P1,none,none,"-1,-1,-1,-1,-1,-1,-1,-1,-1,"
ENST00000701084.1,chrX,+,2609380,2658909,2609380,2609380,10,"2609380,2610995,2612149,2615815,2618739,2619428,2622689,2623384,2626596,2658502,","2609481,2611038,2612218,2615969,2618784,2619497,2622734,2623453,2626642,2658909,",0,CD99P1,none,none,"-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"
ENST00000688123.1,chrX,+,2609380,2658924,2609380,2609380,9,"2609380,2610995,2612149,2618739,2619428,2622689,2623384,2626596,2658502,","2609481,2611038,2612218,2618784,2619497,2622734,2623453,2626642,2658924,",0,CD99P1,none,none,"-1,-1,-1,-1,-1,-1,-1,-1,-1,"
ENST00000435581.7,chrX,+,2609391,2657229,2609391,2609391,9,"2609391,2610995,2612149,2615815,2618739,2619428,2623384,2626596,2655026,","2609481,2611038,2612218,2615969,2618784,2619497,2623453,2626642,2657229,",0,CD99P1,none,none,"-1,-1,-1,-1,-1,-1,-1,-1,-1,"
ENST00000445785.6,chrX,-,2612987,2615347,2612987,2612987,2,"2612987,2614716,","2613696,2615347,",0,LINC00102,none,none,"-1,-1,"
ENST00000414513.7,chrX,+,2616618,2638694,2616618,2616618,5,"2616618,2619428,2623384,2626596,2637973,","2618784,2619497,2623453,2626642,2638694,",0,CD99P1,none,none,"-1,-1,-1,-1,-1,"
ENST00000611428.5,chrX,+,2691186,2741300,2691360,2733364,11,"2691186,2714421,2717604,2719660,2720355,2722626,2723313,2726259,2733356,2738202,2740778,","2691427,2714454,2717652,2719705,2720424,2722674,2723364,2726373,2733374,2738256,2741300,",0,CD99,cmpl,cmpl,"0,1,1,1,1,1,1,1,1,-1,-1,"
ENST00000381187.8,chrX,+,2691275,2741101,2691360,2740804,9,"2691275,2714421,2719660,2720355,2722626,2723313,2726259,2738199,2740778,","2691427,2714454,2719705,2720424,2722674,2723364,2726373,2738256,2741101,",0,CD99,cmpl,cmpl,"0,1,1,1,1,1,1,1,1,"
ENST00000381184.6,chrX,+,2691279,2733667,2691360,2733364,10,"2691279,2714421,2717604,2719660,2720355,2722626,2723313,2726259,2727292,2733356,","2691427,2714454,2717652,2719705,2720424,2722674,2723364,2726373,2727343,2733667,",0,CD99,cmpl,cmpl,"0,1,1,1,1,1,1,1,1,1,"
ENST00000647297.1,chrX,+,2691291,2718018,2691291,2691291,3,"2691291,2714421,2717604,","2691427,2714454,2718018,",0,CD99,none,none,"-1,-1,-1,"
